species,method,m,A,Jc,Jt,m_dL,m_dS
Amphichaetodon_Amphichaetodon_howensis_-1464681654,human,0.095985172,1.642036125,0.411448051,0.584269097,1.024607636,0.076875813
Amphichaetodon_Amphichaetodon_melbae_-1115161976,human,0.114774167,1.612016158,0.502409457,0.64662895,1.10645878,0.120808429
Chaetodon_Chaetodon_adiergastos_1979529705,human,0.16112383,0.951596776,0.747986818,0.52154453,0.872188823,0.180314309
Chaetodon_Chaetodon_andamanensis_-322272266,human,0.137273035,0.685360509,0.768214979,0.492446839,0.593950463,0.078743509
Chaetodon_Chaetodon_argentatus_1074668308,human,0.154123089,1.117039049,0.505552461,0.745725719,1.106239005,0.216588011
Chaetodon_Chaetodon_aureofasciatus_1459626629,human,0.114761579,1.126415461,0.721450001,0.494489501,0.887387637,0.0776821
Chaetodon_Chaetodon_auriga_843681634,human,0.131736111,1.037593985,0.732733525,0.575304494,0.865379487,0.252885565
Chaetodon_Chaetodon_auripes_1839596140,human,0.18695825,0.882131613,0.684651784,0.675030853,0.868411838,0.105972179
Chaetodon_Chaetodon_austriacus_-1737564550,human,0.15903431,0.742851305,0.682386687,0.657226112,0.963476002,0.251629384
Chaetodon_Chaetodon_baronessa_918345433,human,0.18724318,1.366036253,0.660807221,0.674697801,0.867295895,0.017861314
Chaetodon_Chaetodon_bennetti_711591108,human,0.111312914,1.043419877,0.681368797,0.58995966,0.797185273,0.182633509
Chaetodon_Chaetodon_blackburnii_300609141,human,0.105493197,0.990693196,0.551623542,0.651237955,1.038940044,0.066991695
Chaetodon_Chaetodon_citrinellus_-1736280642,human,0.112147,0.937008826,0.706772283,0.533051732,0.814019426,0.067988834
Chaetodon_Chaetodon_collare_1403678122,human,0.210825503,1.122448906,0.566143954,0.39681889,0.715618333,0.047701727
Chaetodon_Chaetodon_daedalma_1811677923,human,0.306206752,1.102135914,0.505093341,0.808276604,1.083604839,0.129841673
Chaetodon_Chaetodon_declivis_-274435096,human,0.116264121,1.194960314,0.644271788,0.718026248,1.062841138,0.157221312
Chaetodon_Chaetodon_decussatus_527122207,human,0.134565033,1.131917492,0.568668172,0.587817099,0.891688779,0.060058942
Chaetodon_Chaetodon_dialeucos_1297085044,human,0.192595878,1.206365811,0.635375981,0.615003702,0.787913609,0.056566327
Chaetodon_Chaetodon_dolosus_-1008609691,human,0.193258359,1.049747136,0.678178127,0.619891947,0.920276709,0.087153087
Chaetodon_Chaetodon_ephippium_-1179871461,human,0.112473088,0.978187054,0.641374178,0.728756214,1.172084062,0.076304247
Chaetodon_Chaetodon_falcula_1821335233,human,0.104388012,1.696737512,0.6203557,0.726344757,1.142401864,0.158988697
Chaetodon_Chaetodon_fasciatus_-1886056978,human,0.201002337,0.764274621,0.65592541,0.71115571,0.778084211,0.112979303
Chaetodon_Chaetodon_flavirostris_1864146380,human,0.155767556,1.030550052,0.664981259,0.61651604,0.697635046,0.106452985
Chaetodon_Chaetodon_flavocoronatus_-1261632291,human,0.102220909,1.04421376,0.506920911,0.621749205,1.006202652,0.126155351
Chaetodon_Chaetodon_fremblii_5130835,human,0.15495739,0.815616127,0.661133942,0.49417432,0.817639541,0.120564257
Chaetodon_Chaetodon_gardineri_-1706450280,human,0.120002844,0.990862337,0.621804573,0.543033747,0.842925475,0.079323254
Chaetodon_Chaetodon_guentheri_-184146759,human,0.129355386,0.969344154,0.669788928,0.596017335,0.896692369,0.102355943
Chaetodon_Chaetodon_guttatissimus_-1623433841,human,0.206742167,0.977359531,0.719291728,0.648677975,1.02655444,0.073941018
Chaetodon_Chaetodon_kleinii_-1577854379,human,0.155476788,1.072091399,0.716615786,0.538964963,0.864961814,0.058450456
Chaetodon_Chaetodon_larvatus_1783626891,human,0.103735007,1.392265399,0.764101706,0.584870861,0.752413766,0.031197574
Chaetodon_Chaetodon_leucopleura_951338608,human,0.112432529,1.141979972,0.644392081,0.609724997,0.96311156,0.200788308
Chaetodon_Chaetodon_lineolatus_1526268337,human,0.114933333,1.38121547,0.709868108,0.678069979,1.184787677,0.146766901
Chaetodon_Chaetodon_litus_1983788749,human,0.22721,1.002555967,0.659689022,0.508812057,0.865116237,0.051453024
Chaetodon_Chaetodon_lunula_543936522,human,0.10308499,1.029398539,0.73429074,0.652157654,1.006338869,0.082987838
Chaetodon_Chaetodon_lunulatus_1113667583,human,0.14826424,0.831617411,0.733223596,0.511839321,0.753911335,0.119586308
Chaetodon_Chaetodon_madagaskariensis_1210446292,human,0.120822303,1.351951623,0.693843826,0.433590453,1.268013734,0.090717939
Chaetodon_Chaetodon_marleyi_384825925,human,0.111064679,1.203230751,0.658723153,0.582742853,0.902950509,0.148297683
Chaetodon_Chaetodon_melannotus_-1381464288,human,0.1778,0.875527426,0.659881423,0.715922776,0.892762263,0.155404995
Chaetodon_Chaetodon_melapterus_-738901426,human,0.077819457,1.064395607,0.505144513,0.714233362,1.152235645,0.329980667
Chaetodon_Chaetodon_mertensii_992543933,human,0.141150801,1.357670759,0.668310273,0.471775109,1.135892559,0.100818163
Chaetodon_Chaetodon_mesoleucos_-899095560,human,0.2085,1.705596107,0.533516116,0.365674955,0.795201086,0.340321552
Chaetodon_Chaetodon_meyeri_-146742631,human,0.211984485,0.992405609,0.778976951,0.708013282,1.117977129,0.158936787
Chaetodon_Chaetodon_miliaris_725437158,human,0.137349715,1.077378749,0.679421136,0.583339446,0.839060492,0.121361274
Chaetodon_Chaetodon_mitratus_-777256060,human,0.117107556,1.108070917,0.466061022,0.845721913,1.118743742,0.151151395
Chaetodon_Chaetodon_multicinctus_-1145166510,human,0.204129988,1.153065507,0.708989052,0.583406654,0.938931782,0.060243215
Chaetodon_Chaetodon_nigropunctatus_1435538384,human,0.203593598,1.009064735,0.624204798,0.45965828,0.632130311,0.158852924
Chaetodon_Chaetodon_nippon_-751379567,human,0.167890535,1.041197492,0.582639302,0.639783724,0.864703076,0.08864277
Chaetodon_Chaetodon_ocellicaudus_958979710,human,0.136358645,0.995395025,0.599252894,0.768471977,1.147412879,0.171002995
Chaetodon_Chaetodon_octofasciatus_1838436391,human,0.139302764,1.754842905,0.560422704,0.59910716,0.976460172,0.08370919
Chaetodon_Chaetodon_ornatissimus_164962524,human,0.174905233,0.86118896,0.757703662,0.689474582,0.979201442,0.125176251
Chaetodon_Chaetodon_paucifasciatus_-1576082838,human,0.187653395,1.272062093,0.766994307,0.601669767,0.949426509,0.117955567
Chaetodon_Chaetodon_pelewensis_-460781405,human,0.16854387,0.985547601,0.758144232,0.517028118,0.782540384,0.123747184
Chaetodon_Chaetodon_plebeius_-113106721,human,0.202288538,0.817066286,0.71316603,0.615531735,0.786149569,0.179969367
Chaetodon_Chaetodon_punctatofasciatus_1458053428,human,0.16024512,1.092339323,0.656385096,0.611001782,0.978308673,0.118799165
Chaetodon_Chaetodon_rafflesii_497192485,human,0.211975263,1.096274359,0.801324561,0.503952799,0.618838146,0.095181128
Chaetodon_Chaetodon_rainfordi_-805104421,human,0.110054719,1.3728278,0.791167708,0.558951858,0.878032429,0.070064041
Chaetodon_Chaetodon_reticulatus_-2063111040,human,0.253473583,0.92916585,0.624256263,0.857252396,1.129093675,0.221802566
Chaetodon_Chaetodon_selene_-1379331455,human,0.130878032,1.024093155,0.696159989,0.560007757,0.88528482,0.18840674
Chaetodon_Chaetodon_semeion_-1205919593,human,0.118859691,0.924596421,0.664356679,0.734274639,0.844694649,0.196244301
Chaetodon_Chaetodon_semilarvatus_-947886964,human,0.140610795,1.514858978,0.771604454,0.403287505,0.632281587,0.082527984
Chaetodon_Chaetodon_smithi_-756583267,human,0.051154362,1.209275362,0.425349158,0.828139991,1.120289144,0.299487598
Chaetodon_Chaetodon_speculum_65885528,human,0.088051719,1.055986156,0.720611269,0.65563453,0.940375245,0.14454785
Chaetodon_Chaetodon_tinkeri_1959828294,human,0.106677062,1.088731003,0.537502918,0.582151143,0.961851577,0.054649046
Chaetodon_Chaetodon_trichrous_-192591132,human,0.136437702,1.089182242,0.633877292,0.639976841,0.665935675,0.047839881
Chaetodon_Chaetodon_tricinctus_28770837,human,0.110902482,1.556760797,0.54311444,0.540620918,1.00262811,0.099696597
Chaetodon_Chaetodon_trifascialis_-500274613,human,0.208021182,1.123776463,0.705451306,0.694967242,0.966976758,0.133037779
Chaetodon_Chaetodon_trifasciatus_-781709008,human,0.1471875,1.023195876,0.773101555,0.584037893,0.868241897,0.092284603
Chaetodon_Chaetodon_ulietensis_-1430510223,human,0.128990417,1.352820022,0.604965864,0.719686581,0.886628309,0.22532186
Chaetodon_Chaetodon_unimaculatus_-538563321,human,0.105017093,1.342345164,0.672573632,0.631310289,0.948898358,0.083587579
Chaetodon_Chaetodon_vagabundus_397124810,human,0.1540525,1.028942083,0.710963168,0.614183585,0.893682852,0.105164776
Chaetodon_Chaetodon_wiebeli_532247427,human,0.102558095,0.960208242,0.632463037,0.374311288,0.751150884,0.111760665
Chaetodon_Chaetodon_xanthocephalus_-1021247480,human,0.13094018,1.079961765,0.741249308,0.573363903,0.913520463,0.101711572
Chaetodon_Chaetodon_xanthurus_-858508951,human,0.220507479,1.126392935,0.746624658,0.680968457,0.985672729,0.094076374
Chaetodon_Chaetodon_zanzibarensis_-1292827274,human,0.139890774,1.015293719,0.72612165,0.54068259,0.488801066,0.083683598
Chelmon_Chelmon_marginalis_-1899628097,human,0.097780643,1.304869774,0.575369226,0.535083254,0.814934704,0.115702924
Chelmon_Chelmon_muelleri_425540539,human,0.147933556,1.228653403,0.674277489,0.630850004,0.938510004,0.109267174
